name,category,url,enabled
"Partner News","Partners","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=PartnerNews",true
"Planner","Productivity","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=PlannerBlog",true
"Project","Productivity","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ProjectBlog",true
"Project Support","Productivity","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ProjectSupport",true
"Public Sector","Communities","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=PublicSectorBlog",true
"SAP Applications","SAP","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SAPApplications",true
"SQL Server","Database","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SQLServer",true
"SQLServer Support","Database","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SQLServerSupport",true
"SSIS","Database","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SSIS",true
"Share Point Embedded","Productivity","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SharePoint_Embedded",true
"Share Point Premium","Productivity","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SharePoint_Premium_Blog",true
"Skype for Business","Productivity","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Skype_for_Business_Blog",true
"Small Basic","Others","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SmallBasic",true
"Small and Medium Business","Microsoft 365","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Microsoft365BusinessBlog",true
"Startups at Microsoft","Architecture","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=StartupsatMicrosoftBlog",true
"Stream","Productivity","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=StreamBlog",true
"Student Developer","Development","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=StudentDeveloperBlog",true
"Surface IT Pro","Hardware","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SurfaceITPro",true
"Sysinternals","SysInternal","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Sysinternals-Blog",true
"System Center","Endpoints","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SystemCenterBlog",true
"The Mixed Reality","AI","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=TheMixedRealityBlog",true
"Viva Amplify","Collaboration","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Viva_Amplify_Blog",true
"Viva Connections","Collaboration","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Viva_Connections_Blog",true
"Viva Engage","Collaboration","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Viva_Engage_Blog",true
"Viva Glint","Collaboration","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Viva_Glint_Blog",true
"Viva Glint Partnersblog board","Collaboration","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Viva_Glint_Partnersblog-board",true
"Viva Insights","Collaboration","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Viva_Insights_Blog",true
"Viva Learning","Collaboration","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Viva_Learning_Blog",true
"Viva Pulse","Collaboration","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=VivaPulse-Blog",true
"Viva Sales","Collaboration","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=VivaSales-Blog",true
"Vulnerability Management","Security","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Vulnerability-Management",true
"Weekly Roundup","Others","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=WeeklyRoundupBlog",true
"Windows Admin Center","Windows","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Windows-Admin-Center-Blog",true
"Windows Driver Dev","Windows","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=WindowsDriverDev",true
"Windows Hardware Certification","Windows","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=WindowsHardwareCertification",true
"Windows IT Pro","Windows","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Windows-ITPro-blog",true
"microsoft security","Security","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=microsoft-security-blog",true
